PINGS,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION,sum
0,334,Westerly Burying Ground,City of Boston,Ch114S7/A97/NR,4,West Roxbury,0.90346258,Centre Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,39355.52966,963.0218051,NA,PARK_Cemetery Maintenance Request,0
0,335,Piemonte Park,City of Boston,A97,1,West Roxbury,0.08956676,Opposite 200 Lasell Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,3901.598022,322.6163895,NA,PARK_Maintenance_Region 4,0
0,336,Duffie Square,City of Boston,A97,1,West Roxbury,0.06040139,Clement/Stratford Str.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,2631.131714,237.2186866,NA,PARK_Maintenance_Ground Maintenance,0
0,342,Praught/Bunker Fields,Private,A97,3,West Roxbury,4.91796284, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,214230.2699,2072.028461,NA,INFO_Reallocation From Dept,0
0,347,Mason Schoolyard,City of Boston, ,3,Roxbury,0.38047679, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,16573.86377,774.3221478,NA,INFO_Reallocation From Dept,0
0,348,Boys Club Park,Private, ,3,Roxbury,0.81512514, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,35507.48193,738.1356619,NA,INFO_Reallocation From Dept,0
0,350,Claymont Terrace,Private, ,3,Dorchester,0.60573728, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,26386.3855,712.9041088,NA,INFO_Reallocation From Dept,0
0,354,Belle Isle Coastal Preserve,City of Boston,WPA/Ch91/AC,6,East Boston,1.57, ,Open Space District,Urban Wilds & Natural Areas,NULL,BPRD,N,X, ,,0,0,68192.25073,1317.672623,NA,INFO_Reallocation From Dept,0
0,355,Fernald Rock,City of Boston,A97,6,Dorchester,0.06422499, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,2763.768311,217.0126869,NA,PARK_Maintenance_Ground Maintenance,0
0,358,Crittenton Hospital,Private, ,6,Allston-Brighton,2.92656298, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,127483.3503,1673.778893,NA,INFO_Reallocation From Dept,0
0,361,Mount St. Joseph's Athletic Fields,Private, ,6,Allston-Brighton,4.19149009, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,156605.4797,1909.547478,NA,INFO_Reallocation From Dept,0
0,362,Penniman Road Play Area,City of Boston,A97,3,Allston-Brighton,0.7600167,25 Penniman Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Penniman-Hano Play Area,,0,0,40176.26123,973.8523376,NA,PARK_Maintenance_Region 4,0
0,375,United Nbhd of Lower Roxbury CG,Commonwealth of Massachusetts, ,5,South End,0.27680273, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,12489.21948,514.3235019,NA,INFO_Reallocation From Dept,0
0,386,Stonehill Park,City of Boston,A97,3,Hyde Park,0.31754052,2-16 Raldne St.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Coast Guard Park,,0,0,15923.87878,555.3786466,NA,PARK_Maintenance_Region 4,0
0,396,Florida Street Reservation,City of Boston,A97,1,Dorchester,0.06797031, ,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,2960.841797,1034.552257,NA,INFO_Reallocation From Dept,0
0,405,Dooley Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.44495663, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,23331.87109,650.8947042,NA,INFO_Reallocation From Dept,0
0,407,Patrick J. Kelly Park,Private, ,3,Charlestown,0.14062231, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,10964.17627,553.9269905,NA,PARK_Maintenance_Region 1,0
0,409,Rutland Green,BRA, ,5,South End,0.09157466, ,Residential District,Community Gardens,BNAN, ,N, , ,,0,0,3833.274902,266.5791624,NA,INFO_Reallocation From Dept,0
0,411,Wellington Common,MBTA, ,5,South End,0.10885189, ,Open Space District,Community Gardens,NULL,DCR,N, , ,,0,0,4741.985352,312.1365032,NA,INFO_Reallocation From Dept,0
0,413,Greenwood Community Garden,BNAN,Land Trust,5,Roxbury,0.20391477, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,8882.685791,377.71144,NA,INFO_Reallocation From Dept,0
0,414,Highland Park 400 Garden,Community Group/Nonprofit,Land Trust,5,Roxbury,0.64040972, ,Residential District,Community Gardens,NULL, ,N, ,Cooper Community Garden Center,,0,0,29472.03052,734.4684009,NA,PARK_Maintenance_Ground Maintenance,0
0,415,Bowditch Garden,Private, ,5,Jamaica Plain,0.13576334, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,5913.956543,316.5446588,NA,INFO_Reallocation From Dept,0
0,416,Minton Stable Garden,BNAN,Land Trust,5,Jamaica Plain,1.2,102R-104A Williams Street,Open Space District,Community Gardens,NULL, ,N,X,Williams Street III Urban Wild,,0,0,52298.20996,1326.599085,NA,INFO_Reallocation From Dept,0
0,417,McBride Garden,MBTA,A97,5,Jamaica Plain,0.06163187, ,Open Space District,Community Gardens,NULL,DCR,N, , ,,0,0,2684.732422,241.983039,NA,INFO_Reallocation From Dept,0
0,418,Kennedy Garden,Commonwealth of Massachusetts,A97,5,Mattapan,0.15963181, ,Open Space District,Community Gardens,DCR, ,X,X, ,,0,0,6953.685547,336.2579749,NA,INFO_Reallocation From Dept,0
0,419,White Stadium,City of Boston,A97,3,Roxbury,12.57331008, ,Open Space District,"Parks, Playgrounds & Athletic Fields",George Robert White Fund,BPS,X,X, ,,0,0,547703.1245,2960.776484,NA,INFO_Reallocation From Dept,0
0,421,Rivermoor I,United States of America,A97,6,West Roxbury,7.71360557, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,336953.2302,4406.993864,NA,INFO_Reallocation From Dept,0
0,425,First Church Cemetery,Private, ,4,Jamaica Plain,0.62830435, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,27369.42456,678.7713348,NA,INFO_Reallocation From Dept,0
0,426,Golden Stairs Terrace Park I,City of Boston,A97,3,East Boston,0.17, ,Residential District,"Parks, Playgrounds & Athletic Fields",BCC,BPRD,X,X,Terrace Park,,0,0,7426.335693,348.8615178,NA,PARK_Maintenance_Region 1,0
0,427,The Rockies,City of Boston,A97,6,East Boston,0.72777625, ,Open Space District,Urban Wilds & Natural Areas,BPRD, ,X,X, ,,0,0,31122.28003,1248.035784,NA,PARK_Maintenance_Ground Maintenance,0
0,429,Roxbury Heritage State Park II,City of Boston,,3,Roxbury,0.35, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,DCR,N,X,Dillaway Thomas House,,0,0,15127.54175,496.8038788,NA,INFO_Reallocation From Dept,0
0,430,Kittredge-Linwood Parcel,BNAN,Land Trust,7,Roxbury,0.1638802, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, , ,0,0,6713.947998,329.0344854,NA,INFO_Reallocation From Dept,0
0,433,St Rose Street Garden,BNAN,Land Trust,5,Jamaica Plain,0.0780558, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,3219.976318,232.0451753,NA,INFO_Reallocation From Dept,0
0,435,Mendoza Square,City of Boston, ,1,East Boston,0.03237484,435 Bennington St.,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,1410.273193,163.8618326,NA,PARK_Maintenance_Ground Maintenance,0
0,436,Centre Place Garden,City of Boston, ,5,Roxbury,0.13660536, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,6824.618896,341.3805568,NA,PARK_Maintenance_Region 5,0
0,437,Highland Avenue Community Garden,BNAN,Land Trust,5,Roxbury,0.10061459, ,Open Space District,Community Gardens,NULL, ,N, , , ,0,0,4351.118164,259.430095,NA,INFO_Reallocation From Dept,0
0,438,Allan Crite Garden I,City of Boston,Land Trust,5,Roxbury,0.4036074, ,Residential District,Community Gardens,NULL,Cooper Community Garden Ctr,N, , ,,0,0,16717.33789,803.9668442,NA,INFO_Reallocation From Dept,0
0,439,Chestnut Hill Reservoir Garden,Commonwealth of Massachusetts,A97,5,Allston-Brighton,0.11361635, ,Open Space District,Community Gardens,DCR, ,X,X, ,,0,0,4949.216553,289.0884017,NA,INFO_Reallocation From Dept,0
0,440,Ohrenberger Recreation Complex,City of Boston, ,3,West Roxbury,3.79797555, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,165442.7438,3302.852319,NA,INFO_Reallocation From Dept,0
0,443,Wilson Square,City of Boston, ,1,Allston-Brighton,0.05817535,Intersection of Dunboy & Perthshire,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X,Frederick S. Wilson Square,,0,0,2534.164063,249.3887338,NA,PARK_Maintenance_Region 4,0
0,448,Little Mystic Access Area,BRA,A97/LWCFCh91/WP,3,Charlestown,2.07, ,Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,X, , ,,0,0,89985.60059,2090.818434,NA,INFO_Reallocation From Dept,0
0,456,Marine Industrial Park Entrance II,Massport, ,1,South Boston,0.01, ,Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,652.4714355,241.8042089,NA,INFO_Reallocation From Dept,0
0,460,Lawndale Terrace Garden,MBTA,A97,5,Jamaica Plain,0.09, ,Open Space District,Community Gardens,NULL,DCR,N, ,Southwest Corridor Park,,0,0,3891.892334,249.9388284,NA,PARK_Maintenance_Ground Maintenance,0
0,464,Nonquit Street Garden,City of Boston, ,5,Dorchester,0.15, ,Residential District,Community Gardens,NULL,Nonquit Street Nbhd Assn,N, , ,,0,0,6360.621826,440.5225387,NA,INFO_Reallocation From Dept,0
0,465,Huntoon Rock,Private, ,6,Dorchester,0.16699807, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,7274.56543,389.896073,NA,INFO_Reallocation From Dept,0
0,468,Daniel E. O'Connor Park,City of Boston,A97,1,Dorchester,0.13514805, ,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,Doucette Square;  Port Norfolk Park,,0,0,5887.154785,317.7196394,NA,PARK_Maintenance_Region 2,0
0,470,Williams Street I,Private, ,6,Jamaica Plain,2.1,215 Forest Hills Street (rear),Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,91365.45166,1555.233259,NA,INFO_Reallocation From Dept,0
0,471,Oakview Terrace,City of Boston,A97,1,Jamaica Plain,0.10007451,Opposite 34 Oakview Ter.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,4359.324219,249.7853416,NA,PARK_Maintenance_Region 3,0
0,473,Suffolk Downs Infield,Private,WPA/ACEC/Ch91,3,East Boston,28.37534005, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,1221235.548,4571.879669,NA,INFO_Reallocation From Dept,0
0,483,Hellenic Hill II,Private,100/GPOD,6,Jamaica Plain,6.37162311, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL,Private,N, , ,,0,0,277462.1257,3268.559196,NA,INFO_Reallocation From Dept,0
0,486,Williams Street III,City of Boston, ,6,Jamaica Plain,0.31,Cnr Kenton & Dungarven Sts + 241R Forest Hills St,Open Space District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,13429.40283,702.7426868,NA,INFO_Reallocation From Dept,0
0,490,Monadnock Street Garden,BNAN,Land Trust,5,Dorchester,0.22428755, ,Residential District,Community Gardens,NULL,,N, , ,,0,0,9521.574219,396.7508406,NA,PARK_Maintenance_Ground Maintenance,0
0,496,Parley Vale Preserve,Private,A97/Easement,6,Jamaica Plain,0.70082482, ,Residential District,Urban Wilds & Natural Areas,BCC,Private,X,N, ,BCC,0,0,31534.56201,738.152917,NA,INFO_Reallocation From Dept,0
0,507,Newland Street Park,City of Boston, ,3,South End,0.13833095, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,Private,N,X, ,DND,0,0,6682.098633,357.0345965,NA,INFO_Reallocation From Dept,0
0,509,Zero Quinn Way,City of Boston,A97,3,West Roxbury,0.03197035, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,1395.086914,181.9697565,NA,INFO_Reallocation From Dept,0
0,511,Bromley Heath Play Area,City of Boston, ,3,Jamaica Plain,0.82120332, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,35772.24097,1206.191277,NA,INFO_Reallocation From Dept,0
0,513,Oak Terrace Playlot,Private, ,3,Central Boston,0.0309362, ,Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,1347.607422,147.2843008,NA,INFO_Reallocation From Dept,0
0,515,Allandale Woods ROW,Private,A97,6,West Roxbury,0.16, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,7137.362305,777.1512114,NA,INFO_Reallocation From Dept,0
0,516,St Helena's Park,City of Boston,A97,3,South End,0.17301401, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,7614.23584,352.5239848,NA,PARK_Maintenance_Region 6,0
0,517,Theresa Hynes Park,Private,A97/CR,3,Allston-Brighton,0.45342376, ,Residential District,"Parks, Playgrounds & Athletic Fields",BCC, ,X,X, ,,0,0,19434.03687,774.5191134,NA,INFO_Reallocation From Dept,0
0,521,Ernst Chery Jr. Playground,City of Boston,A97,3,Mattapan,0.25, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Orlando Street Playground,BPRD,0,0,10190.50806,406.765879,NA,PARK_Maintenance_Region 2,0
0,522,Millennium Park II,City of Boston,A97/WPA,6,West Roxbury,8.33,300 Gardner Str.,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,Dump Shoreline Urban Wild,,0,0,362928.0532,2457.214009,NA,PARK_Maintenance_Ground Maintenance,0
0,526,Bessie Barnes Garden,Community Group/Nonprofit,Land Trust,5,South End,0.13321562, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,5802.977051,322.5453698,NA,PARK_Maintenance_Region 6,0
0,528,Oakdale Street Community Garden,MBTA, ,5,Jamaica Plain,0.15597314, ,Open Space District,Community Gardens,NULL,DCR,N, , ,,0,0,6963.858643,383.9883164,NA,INFO_Reallocation From Dept,0
0,530,Paul Sullivan House Comm Garden,Community Group/Nonprofit, ,5,Dorchester,0.05367956, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,2284.594971,225.7692298,NA,INFO_Reallocation From Dept,0
0,531,Boston Evening Academy Garden,City of Boston, ,5,Roxbury,0.22, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,9409.820068,391.6363537,NA,INFO_Reallocation From Dept,0
0,532,Phyllis Wheatley/Warren Place,City of Boston, ,5,Roxbury,0.15, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,6472.751465,335.3744126,NA,INFO_Reallocation From Dept,0
0,533,ReVision House Urban Farm #2,Community Group/Nonprofit, ,5,Mattapan,0.37642885, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,7788.186768,462.416339,NA,INFO_Reallocation From Dept,0
0,534,Shore Plaza East Garden,Private, ,5,East Boston,0.09258596, ,Special District,Community Gardens,NULL, ,N, , ,,0,0,4033.128662,261.3646756,NA,INFO_Reallocation From Dept,0
0,535,South Street Community Garden,Commonwealth of Massachusetts, ,5,Jamaica Plain,0.47012064, ,Open Space District,Community Gardens,NULL, ,N, , ,,0,0,20478.81641,571.9831668,NA,PARK_Maintenance_Ground Maintenance,0
0,536,Starr Lane Park,City of Boston, ,5,Jamaica Plain,0.06203976, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,2495.544678,205.1184605,NA,INFO_Reallocation From Dept,0
0,537,The Food Project Lot #3,Private, ,5,Roxbury,0.11455758,18 Albion Street,Residential District,Community Gardens,NULL, ,N, , ,,0,0,5139.077881,302.3409552,NA,INFO_Reallocation From Dept,0
0,538,Wakullah St. CG,BRA, ,5,Roxbury,0.10242284, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,4089.0979,262.1921282,NA,INFO_Reallocation From Dept,0
0,540,Washington Manor Community Garden,BHA, ,5,South End,0.02207476,Between Washburn St and Dorchester Ave,Special District,Community Gardens,NULL,BHA,N, , ,,0,0,961.597168,124.1241191,NA,INFO_Reallocation From Dept,0
0,543,9th Street Circle Garden,City of Boston, ,5,Charlestown,0.04569857, ,Special District,Community Gardens,NULL, ,N, , ,,0,0,1990.669678,161.1286116,NA,INFO_Reallocation From Dept,0
0,545,Clementine Park,City of Boston, ,5,Dorchester,0.02508511, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,1011.931641,137.5276784,NA,INFO_Reallocation From Dept,0
0,546,Columbia Point Community Garden,Private, ,5,Dorchester,0.05, ,Commercial/Office/Business District,Community Gardens,NULL, ,N, , ,,0,0,2026.83667,233.3558847,NA,INFO_Reallocation From Dept,0
0,547,Commonwealth Tenants Association CG,BHA, ,5,Allston-Brighton,0.35038399, ,Residential District,Community Gardens,NULL,BHA,N, , ,,0,0,15262.99805,752.1073436,NA,INFO_Reallocation From Dept,0
0,561,Wormwood Park,Commonwealth of Massachusetts,CATMit/MHP/Ch91,1,South Boston,0.13,261 A Street,Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,5679.842529,312.8156168,NA,INFO_Reallocation From Dept,0
0,566,Binford Street Park,Private,CATMit/Ch91/WPA,1,South Boston,0.45, ,Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,19816.95435,808.2081402,NA,INFO_Reallocation From Dept,0
0,572,McGann Park,City of Boston,A97,3,Roslindale,0.88,420 West Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,38368.07544,912.4548407,NA,PARK_Maintenance_Ground Maintenance,0
0,573,Mattahunt Woods III,City of Boston,WPA,6,Mattapan,3.57, ,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,DND,0,0,155324.2156,3624.4476,NA,PARK_Maintenance_Ground Maintenance,0
0,575,Bay Village Garden,City of Boston,A97,5,Central Boston,0.02, ,Open Space District,Community Gardens,BPRD,Private,X,X,Melrose Park,BPRD,0,0,790.7370605,112.3052349,NA,PARK_Maintenance_Ground Maintenance,0
0,579,Bussey Brook Meadow II,MBTA,,6,Roslindale,1.17,Opposite 376 Arborway Str.,Open Space District,Urban Wilds & Natural Areas,,,N,X,Arnold Arboretum IV,MBTA,0,0,54784.02271,1355.199565,NA,INFO_Reallocation From Dept,0
0,580,North Beacon Allee,Private, ,1,Allston-Brighton,0.84, ,Conservation Protection Subdistrict,"Malls, Squares & Plazas",NULL, ,N, , ,,0,0,36673.33545,1016.650147,NA,INFO_Reallocation From Dept,0
0,586,South Shore Plaza Courts,Private,WPA/Ch91,3,East Boston,0.23, ,Special District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,10181.23755,403.6711163,NA,INFO_Reallocation From Dept,0
0,595,Allan Crite Garden II,BRA, ,5,Roxbury,0.04, ,Open Space District,Community Gardens,BNAN,Cooper Community Garden Ctr,N, , ,,0,0,1609.355713,194.8552795,NA,INFO_Reallocation From Dept,0
0,597,Oxford Place Plaza,Private, ,3,Central Boston,0.05, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,2039.811768,178.7404143,NA,INFO_Reallocation From Dept,0
0,599,Mattahunt Woods Buffer,Private, ,6,Mattapan,1.02, ,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,n/a,0,0,44718.13989,972.7562976,NA,INFO_Reallocation From Dept,0
0,600,Mattahunt School Woods,City of Boston, ,6,Mattapan,0.96, ,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,X, ,BPS,0,0,129744.4495,2790.451298,NA,INFO_Reallocation From Dept,0
0,602,Mattahunt School Entrance Plaza,City of Boston, ,1,Mattapan,0.37, ,Residential District,"Malls, Squares & Plazas",NULL,BPS,N,X, ,BPS,0,0,16007.70654,722.782529,NA,INFO_Reallocation From Dept,0
0,603,Currier Woods I,City of Boston, ,6,Mattapan,1.43, ,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,DND,0,0,62465.70947,1378.737555,NA,INFO_Reallocation From Dept,0
0,604,Currier Woods II,Private, ,6,Mattapan,0.56, ,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,n/a,0,0,24301.60107,639.8434488,NA,INFO_Reallocation From Dept,0
0,605,Savannah Woods II,Private, ,6,Mattapan,0.73, ,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,n/a,0,0,31852.92334,1790.85465,NA,INFO_Reallocation From Dept,0
0,606,Melvinside Play Area,Private, ,3,Dorchester,0.4, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,17476.13574,814.9543263,NA,INFO_Reallocation From Dept,0
0,610,Franklin Field BHA Green,City of Boston, ,3,Mattapan,0.7, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,30634.521,863.9784128,NA,PARK_Maintenance_Ground Maintenance,0
0,611,Franklin Field BHA Playground,City of Boston, ,3,Mattapan,0.39, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,17021.63208,592.290924,NA,INFO_Reallocation From Dept,0
0,612,ELC Playlot,City of Boston, ,3,Roxbury,0.45, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,19494.56396,562.6197323,NA,INFO_Reallocation From Dept,0
0,613,John Eliot Square Urban Wild I,City of Boston, ,6,Roxbury,0.23, ,Residential District,Urban Wilds & Natural Areas,NULL,BCC+BPRD,N, , ,,0,0,10127.27686,543.2974253,NA,PARK_Maintenance_Ground Maintenance,0
0,614,John Eliot Square Urban Wild II,BNAN,Land Trust,6,Roxbury,0.08, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,3308.23584,250.9064648,NA,INFO_Reallocation From Dept,0
0,615,Savannah Woods I,City of Boston, ,6,Mattapan,3.2, ,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,DND,0,0,139206.5391,3156.045937,NA,INFO_Reallocation From Dept,0
0,616,Rutland's Haven Community Garden,Community Group/Nonprofit,Land Trust,5,South End,0.11, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,5004.248535,334.6692158,NA,INFO_Reallocation From Dept,0
0,617,Bessie Barnes Park,Community Group/Nonprofit,Land Trust,3,South End,0.1, ,Residential District,"Parks, Playgrounds & Athletic Fields",BNAN, ,N, , ,,0,0,4398.552002,267.1824155,NA,INFO_Reallocation From Dept,0
0,618,Frederick Douglass Peace Garden,BRA,Land Trust,5,South End,0.11, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,4953.523926,353.7439238,NA,PARK_Maintenance_Ground Maintenance,0
0,622,Cedar-Juniper Natural Area,BNAN,Land Trust,6,Roxbury,0.38,12 Cedar Street,Residential District,Urban Wilds & Natural Areas,NULL, ,N,X, , ,0,0,16823.42676,524.4658134,NA,PARK_Maintenance_Ground Maintenance,0
0,623,Madison Park Village CG,City of Boston, ,5,Roxbury,0.24, ,Institutional District,Community Gardens,NULL, ,N, , ,,0,0,10336.84375,444.828896,NA,INFO_Reallocation From Dept,0
0,624,Dartmouth Square,Private, ,1,South End,0.17,150 Appleton Street,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,7361.63208,416.5892521,NA,INFO_Reallocation From Dept,0
0,629,William S. Britton Square,City of Boston, ,1,Dorchester,0.03, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,1319.819336,162.5345487,NA,INFO_Reallocation From Dept,0
0,633,Mattahunt Woods I,City of Boston,A97/WPA,6,Mattapan,6.01,"Canaan, Itasca, Croydon & Kennebec Sts.",Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,BCC,0,0,261960.1304,6424.429917,NA,PARK_Maintenance_Ground Maintenance,0
0,635,Beethoven School Play Area,City of Boston,A97,3,West Roxbury,0.52, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,22852.01685,762.397366,NA,PARK_Maintenance_Region 4,0
0,639,Egleston Plaza II,City of Boston, ,1,Roxbury,0.01, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,PWD,N,X, ,PWD,0,0,501.1379395,175.7859428,NA,INFO_Reallocation From Dept,0
0,642,Golden Stairs Terrace Park II,City of Boston, ,1,East Boston,0.07, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X,Golden Stairs,,0,0,3304.829834,536.6731039,NA,PARK_Maintenance_Ground Maintenance,0
0,644,Jones Square,City of Boston,A97,1,Hyde Park,0.04,Highland Street & Milton Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Lt. Parker B. Jones Square,BPRD,0,0,1875.799561,216.054283,NA,PARK_Maintenance_Region 4,0
0,645,Schraffts Centre Harborwalk,Private,Ch91/WPA/100,1,Charlestown,1.01,529-543 Main Street,Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,43910.9729,2753.051194,NA,INFO_Reallocation From Dept,0
0,646,Roslindale Wetlands Urban Wild I,City of Boston,A97/WPA,6,Roslindale,8.05,Adjacent to 43 Hazelmere Rd,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,350675.229,5537.062778,NA,PARK_Maintenance_Ground Maintenance,0
0,647,Roslindale Wetlands Urban Wild II,Private,WPA/100,6,Roslindale,2.45,Near 23 Coniston Rd,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,106735.7747,3708.532656,NA,INFO_Reallocation From Dept,0
0,648,Scalia Square,City of Boston, ,1,Dorchester,0.01,"Intersection Ashland, Beach & Park Sts",Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,384.4633789,95.18330759,NA,PARK_Maintenance_Region 2,0
0,649,Shempa Square,MBTA, ,1,Hyde Park,0.03,Intersection Business & River Sts,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X,Daniel J. Shempa Square,MBTA,0,0,1097.289551,151.2095359,NA,PARK_Maintenance_Region 4,0
0,655,Belle Isle Inlet Buffer II,Private, ,6,East Boston,2.04,111 Waldemar Avenue,Special District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,86097.20313,2554.592508,NA,INFO_Reallocation From Dept,0
0,656,Webster Square,City of Boston,A97,1,Hyde Park,0.05,Intersection of Central & Webster,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,2369.162598,194.4397417,NA,PARK_Maintenance_Region 4,0
0,657,Wolf Square,City of Boston,A97,1,Roxbury,0.02,"Intersection Crawford, Harold, Abbotsford Sts",Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Herbert J. Wolf Square, Harold Square",BPRD,0,0,992.9072266,135.0368017,NA,PARK_Maintenance_Ground Maintenance,0
